Name, Year, Runtime 
The Shawshank Redemption,(1994),142 min
The Dark Knight,(2008),152 min
Inception,(2010),148 min
Fight Club,(1999),139 min
Pulp Fiction,(1994),154 min
Forrest Gump,(1994),142 min
The Matrix,(1999),136 min
The Lord of the Rings: The Fellowship of the Ring,(2001),178 min
The Lord of the Rings: The Return of the King,(2003),201 min
The Godfather,(1972),175 min
The Dark Knight Rises,(2012),164 min
The Lord of the Rings: The Two Towers,(2002),179 min
Se7en,(1995),127 min
Django Unchained,(2012),165 min
Gladiator,(2000),155 min
Batman Begins,(2005),140 min
The Silence of the Lambs,(1991),118 min
Inglourious Basterds,(2009),153 min
The Avengers,(2012),143 min
Saving Private Ryan,(1998),169 min
Star Wars,(1977),121 min
Schindler's List,(1993),195 min
The Prestige,(2006),130 min
The Departed,(2006),151 min
Star Wars: Episode V - The Empire Strikes Back,(1980),124 min
The Green Mile,(1999),189 min
Shutter Island,(2010),138 min
The Godfather: Part II,(1974),202 min
Memento,(2000),113 min
Avatar,(2009),162 min
American Beauty,(1999),122 min
Back to the Future,(1985),116 min
Titanic,(1997),194 min
Léon,(1994),110 min
American History X,(1998),119 min
V for Vendetta,(2005),132 min
Goodfellas,(1990),146 min
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min
WALL·E,(2008),98 min
Kill Bill: Vol. 1,(2003),111 min
Terminator 2: Judgment Day,(1991),137 min
The Usual Suspects,(1995),106 min
Braveheart,(1995),178 min
Star Wars: Episode VI - Return of the Jedi,(1983),131 min
Finding Nemo,(2003),100 min
The Lion King,(1994),88 min
The Truman Show,(1998),103 min
Iron Man,(2008),126 min
Up,(2009),96 min
Reservoir Dogs,(1992),99 min
